File Name,Cores Number,Sparse Matrix,Dense Vector,Serial Algo Execution time,Row-wise Average Communication Time,Row-wise Average Computation Time,Row-wise Execution time,Row-wise Result,Column-wise Average Communication Time,Column-wise Average Computation Time,Column-wise Execution time,Column-wise Result,Non-zero elements Average Communication Time,Non-zero elements Average Computation Time,Non-zero Elements Execution time,Non-zero Elements Result,PETSc Execution time,PETSc Result
cop20k_A_mtx_k9_cores45_chunks3_cpus15,45,121192x121192,121192x9,0.615992,,,0.108957,same,,,0.735932,same,,,0.140512,same,0.016555,same
cop20k_A_mtx_k9_cores45_chunks5_cpus9,45,121192x121192,121192x9,0.55189,,,0.0905804,same,,,0.645443,same,,,0.125081,same,0.0135235,same
cop20k_A_mtx_k9_cores48_chunks3_cpus16,48,121192x121192,121192x9,0.611433,,,0.120703,same,,,0.727442,same,,,0.138753,same,0.0139566,same
cop20k_A_mtx_k9_cores48_chunks4_cpus12,48,121192x121192,121192x9,0.570689,,,0.0956822,same,,,0.679307,same,,,0.133235,same,0.0173083,same
cop20k_A_mtx_k9_cores4_chunks1_cpus4,4,121192x121192,121192x9,0.485914,,,0.194153,same,,,0.241559,same,,,0.168,same,0.0423541,same
cop20k_A_mtx_k9_cores4_chunks2_cpus2,4,121192x121192,121192x9,0.484369,,,0.19543,same,,,0.23948,same,,,0.174081,same,0.0432526,same
cop20k_A_mtx_k9_cores50_chunks5_cpus10,50,121192x121192,121192x9,0.549518,,,0.0886429,same,,,0.672246,same,,,0.125881,same,0.0136866,same
cop20k_A_mtx_k9_cores52_chunks4_cpus13,52,121192x121192,121192x9,0.594069,,,0.10231,same,,,0.696762,same,,,0.134525,same,0.0160226,same
cop20k_A_mtx_k9_cores55_chunks5_cpus11,55,121192x121192,121192x9,0.572187,,,0.0916275,same,,,0.667474,same,,,0.130066,same,0.0126439,same
cop20k_A_mtx_k9_cores56_chunks4_cpus14,56,121192x121192,121192x9,0.591065,,,0.0985699,same,,,0.712447,same,,,0.136262,same,0.0144635,same
cop20k_A_mtx_k9_cores5_chunks1_cpus5,5,121192x121192,121192x9,0.513712,,,0.204426,same,,,0.357325,same,,,0.164132,same,0.0460349,same
cop20k_A_mtx_k9_cores60_chunks4_cpus15,60,121192x121192,121192x9,0.610817,,,0.105312,same,,,0.731934,same,,,0.13698,same,0.0123174,same
cop20k_A_mtx_k9_cores60_chunks5_cpus12,60,121192x121192,121192x9,0.57002,,,0.0916846,same,,,0.689869,same,,,0.130764,same,0.0145026,same
cop20k_A_mtx_k9_cores64_chunks4_cpus16,64,121192x121192,121192x9,0.802794,,,0.103962,same,,,0.7339,same,,,0.135614,same,0.0121794,same
cop20k_A_mtx_k9_cores65_chunks5_cpus13,65,121192x121192,121192x9,0.592186,,,0.101669,same,,,0.692087,same,,,0.130187,same,0.0125086,same
cop20k_A_mtx_k9_cores6_chunks1_cpus6,6,121192x121192,121192x9,0.516456,,,0.196369,same,,,0.316819,same,,,0.155676,same,0.0435676,same
cop20k_A_mtx_k9_cores6_chunks2_cpus3,6,121192x121192,121192x9,0.514735,,,0.195906,same,,,0.315977,same,,,0.15574,same,0.0424412,same
cop20k_A_mtx_k9_cores6_chunks3_cpus2,6,121192x121192,121192x9,0.515921,,,0.198138,same,,,0.31995,same,,,0.15531,same,0.0449546,same
cop20k_A_mtx_k9_cores7_chunks1_cpus7,7,121192x121192,121192x9,0.533634,,,0.187426,same,,,0.263539,same,,,0.158039,same,0.0436956,same
cop20k_A_mtx_k9_cores8_chunks1_cpus8,8,121192x121192,121192x9,0.536789,,,0.171105,same,,,0.216777,same,,,0.152617,same,0.0399453,same
cop20k_A_mtx_k9_cores8_chunks2_cpus4,8,121192x121192,121192x9,0.535956,,,0.171822,same,,,0.210331,same,,,0.149034,same,0.0378216,same
cop20k_A_mtx_k9_cores8_chunks4_cpus2,8,121192x121192,121192x9,0.534326,,,0.174065,same,,,0.212018,same,,,0.151021,same,0.0398255,same
cop20k_A_mtx_k9_cores9_chunks1_cpus9,9,121192x121192,121192x9,0.549675,,,0.166362,same,,,0.161751,same,,,0.151788,same,0.0369665,same
cop20k_A_mtx_k9_cores9_chunks3_cpus3,9,121192x121192,121192x9,0.551146,,,0.173111,same,,,0.167999,same,,,0.152175,same,0.036003,same
